"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_counterbalance","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_goodbye","count_green_fix","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_red_fix","count_reset_feedback","count_trial_sequence","count_word","datetime","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","nonword_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_practice","response_feedback","response_goodbye","response_instructions","response_keyboard_response","response_time","response_time_end_of_practice","response_time_feedback","response_time_goodbye","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_about_this_example","time_block_loop","time_block_sequence","time_counterbalance","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_goodbye","time_green_fix","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_red_fix","time_reset_feedback","time_trial_sequence","time_word","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_response"
"0","0","5000","5000","gray","no","legacy","nonword","legacy","legacy","0","relative","0","undefined","0","[nonword_response]","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","None","NA","NA","NA","space","None","5000","NA","NA","NA","856","5000","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","ipple","NA","1657","1657","795","NA","795","NA","NA","1693","NA","NA","797","2195","7696","1653","7196","NA","1692","2195","Lexical decision","0","5000","1","no","1024","z"
"50","50","3067","3067","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","1","0","1","0","1","1","0","1","0","1","1","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","1134","NA","NA","NA","856","1134","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","apple","NA","1657","1657","795","NA","795","NA","NA","7800","NA","9437","797","8301","9937","1653","7196","NA","7799","8301","Lexical decision","1","6134","2","no","1024","z"
"66.6666666667","66.6666666667","2258.33333333","2258.33333333","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","2","0","2","0","2","2","0","2","0","2","2","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","641","NA","NA","NA","856","641","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","ourtel","NA","1657","1657","795","NA","795","NA","NA","10003","NA","11148","797","10506","11648","1653","7196","NA","10002","10505","Lexical decision","2","6775","3","no","1024","z"
"75","75","2007.75","2007.75","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","3","0","3","0","3","3","0","3","0","3","3","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","1256","NA","NA","NA","856","1256","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","mocag","NA","1657","1657","795","NA","795","NA","NA","11719","NA","13480","797","12220","13980","1653","7196","NA","11718","12220","Lexical decision","3","8031","4","no","1024","z"
"80","80","1791.6","1791.6","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","4","0","4","0","4","4","0","4","0","4","4","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","4","4","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","927","NA","NA","NA","856","927","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","turtle","NA","1657","1657","795","NA","795","NA","NA","14044","NA","15473","797","14545","15974","1653","7196","NA","14042","14545","Lexical decision","4","8958","5","no","1024","z"
"83.3333333333","83.3333333333","1653.83333333","1653.83333333","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","5","0","5","0","5","5","0","5","0","5","5","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","5","5","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","965","NA","NA","NA","856","965","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","magic","NA","1657","1657","795","NA","795","NA","NA","16040","NA","17508","797","16541","18008","1653","7196","NA","16038","16541","Lexical decision","5","9923","6","no","1024","z"
"100","100","1469","1469","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","6","0","6","0","6","6","0","6","1","6","6","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","1469","663","1184","NA","856","1469","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","turtle","NA","19982","19981","795","19309","795","19972","18083","20002","NA","21974","797","20503","22474","1653","7196","NA","20000","20503","Lexical decision","1","1469","1","no","1024","z"
"100","100","1678.5","1678.5","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","1","1","0","0","0","0","0","7","0","7","0","7","7","0","7","1","7","7","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","1888","663","1184","NA","856","1888","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","ipple","NA","19982","19981","795","19309","795","19972","18083","22543","NA","24934","797","23044","25434","1653","7196","NA","22542","23044","Lexical decision","2","3357","2","no","1024","z"
"100","100","1533.33333333","1533.33333333","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","8","0","8","0","8","8","0","8","1","8","8","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","1243","663","1184","NA","856","1243","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","magic","NA","19982","19981","795","19309","795","19972","18083","25499","NA","27245","797","26000","27745","1653","7196","NA","25498","26000","Lexical decision","3","4600","3","no","1024","z"
"100","100","1562","1562","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","1","1","0","0","0","0","0","9","0","9","0","9","9","0","9","1","9","9","Thu 31 Oct 2019 16:58:59 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-13.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","1648","663","1184","NA","856","1648","2","legacy","1024","2","48000","-16","experiment","13","odd","legacy","mocag","NA","19982","19981","795","19309","795","19972","18083","27823","NA","29977","797","28324","30477","1653","7196","NA","27817","28324","Lexical decision","4","6248","4","no","1024","z"
