"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_counterbalance","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_goodbye","count_green_fix","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_red_fix","count_reset_feedback","count_trial_sequence","count_word","datetime","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","nonword_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_practice","response_feedback","response_goodbye","response_instructions","response_keyboard_response","response_time","response_time_end_of_practice","response_time_feedback","response_time_goodbye","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_about_this_example","time_block_loop","time_block_sequence","time_counterbalance","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_goodbye","time_green_fix","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_red_fix","time_reset_feedback","time_trial_sequence","time_word","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_response"
"100","100","979","979","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","979","NA","NA","NA","7491","979","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","turtle","NA","8263","8263","757","NA","757","NA","NA","8300","NA","9781","760","8801","10281","8251","NA","NA","8298","8801","Lexical decision","1","979","1","no","1024","z"
"100","100","947","947","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","1","0","1","0","1","1","0","1","0","1","1","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","915","NA","NA","NA","7491","915","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","apple","NA","8263","8263","757","NA","757","NA","NA","10387","NA","11808","760","10889","12309","8251","NA","NA","10386","10889","Lexical decision","2","1894","2","no","1024","z"
"100","100","946.666666667","946.666666667","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","2","0","2","0","2","2","0","2","0","2","2","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","946","NA","NA","NA","7491","946","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","mocag","NA","8263","8263","757","NA","757","NA","NA","12373","NA","13824","760","12874","14324","8251","NA","NA","12371","12874","Lexical decision","3","2840","3","no","1024","z"
"100","100","1025.75","1025.75","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","3","0","3","0","3","3","0","3","0","3","3","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","z","NA","NA","NA","space","z","1263","NA","NA","NA","7491","1263","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","magic","NA","8263","8263","757","NA","757","NA","NA","14391","NA","16156","760","14892","16656","8251","NA","NA","14389","14892","Lexical decision","4","4103","4","no","1024","z"
"100","100","1115.6","1115.6","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","4","0","4","0","4","4","0","4","0","4","4","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","4","4","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","1475","NA","NA","NA","7491","1475","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","ipple","NA","8263","8263","757","NA","757","NA","NA","16748","NA","18725","760","17249","19225","8251","NA","NA","16747","17249","Lexical decision","5","5578","5","no","1024","z"
"100","100","1095.66666667","1095.66666667","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","5","0","5","0","5","5","0","5","0","5","5","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","5","5","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","yes","0","m","NA","NA","NA","space","m","996","NA","NA","NA","7491","996","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","ourtel","NA","8263","8263","757","NA","757","NA","NA","19291","NA","20789","760","19792","21289","8251","NA","NA","19290","19792","Lexical decision","6","6574","6","no","1024","z"
"100","100","778","778","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","6","0","6","0","6","6","0","6","1","6","6","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","0","0","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","778","1280","1862","NA","7491","778","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","magic","NA","24567","24567","757","23284","757","24564","21365","24587","NA","25869","760","25089","26369","8251","NA","NA","24586","25089","Lexical decision","1","778","1","no","1024","z"
"100","100","757","757","gray","no","legacy","word","legacy","legacy","0","relative","1","undefined","1","[word_response]","0","1","1","0","0","0","0","0","7","0","7","0","7","7","0","7","1","7","7","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","1","1","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","736","1280","1862","NA","7491","736","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","apple","NA","24567","24567","757","23284","757","24564","21365","26438","NA","27677","760","26940","28177","8251","NA","NA","26434","26940","Lexical decision","2","1514","2","no","1024","z"
"66.6666666667","66.6666666667","877.333333333","877.333333333","gray","no","legacy","nonword","legacy","legacy","0","relative","0","undefined","0","[nonword_response]","0","1","1","0","0","0","0","0","8","0","8","0","8","8","0","8","1","8","8","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","2","2","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","z","space","space","NA","space","z","1118","1280","1862","NA","7491","1118","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","ourtel","NA","24567","24567","757","23284","757","24564","21365","28241","NA","27677","760","28742","30361","8251","29861","NA","28240","28742","Lexical decision","2","2632","3","no","1024","z"
"75","75","1034","1034","gray","no","legacy","nonword","legacy","legacy","0","relative","1","undefined","1","[nonword_response]","0","1","1","0","0","0","0","0","9","0","9","0","9","9","0","9","1","9","9","Thu 31 Oct 2019 16:52:42 GMT","A simple lexical-decision example experiment","yes","/home/andy/.local/share/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","legacy","3","3","0","/home/andy/svn/rmip/docs/openseslib/subject-11.csv","legacy","m","Kafkaesque Koffka","3.2.7","no","0","m","space","space","NA","space","m","1504","1280","1862","NA","7491","1504","2","legacy","1024","2","48000","-16","experiment","11","odd","legacy","ipple","NA","24567","24567","757","23284","757","24564","21365","30445","NA","32452","760","30946","32952","8251","29861","NA","30443","30946","Lexical decision","3","4136","4","no","1024","z"
