subj,ftt1,ftt2,ftt3
1,7,10,8
2,0,0,2
3,3,7,12
4,6,9,7
5,6,14,9
6,6,12,8
7,4,6,5
8,6,5,6
9,3,7,5
10,3,10,4
11,6,5,4
12,5,7,8
13,4,4,4
14,4,10,6
15,6,8,2
16,7,7,7
17,6,7,6
18,3,4,4
19,5,10,8
20,5,11,9
21,5,6,5
22,6,9,11
23,4,7,8
24,3,10,5
25,5,7,8
26,5,7,4
27,5,8,2
28,4,5,6
29,6,14,7
30,7,8,9
31,2,3,2
32,6,12,10
33,4,5,5
34,5,13,8
35,3,5,7
36,5,6,4
37,4,11,9
38,7,14,9
39,3,4,4
40,4,10,8
41,4,6,3
42,6,7,4
43,5,11,8
44,7,9,5
45,4,7,6
46,5,7,3
47,6,10,9
48,7,5,2
