grp,ingroup,outgroup,dominance
1,3.625,1.25,8.5
2,5.125,1.25,5.25
3,5,1.125,3.5
4,5.75,1.25,3.375
5,5.375,1.25,3.875
6,5.625,1.125,3.75
7,6,1,2.875
8,6.375,1.25,4.625
9,6.75,1,3.125
10,6.875,1.25,3
11,7.125,1.25,2.625
12,7,1.25,2.25
13,7.5,1.125,3.25
14,7.25,1,2.625
15,8,1.25,1.25
16,8,1.125,3.75
17,8,1.125,1.875
18,8.25,1.125,1
19,8,1,1.125
20,8.5,1.375,2.75
21,8.5,5.125,2
22,9.375,8,2.375
23,9.375,4.125,1
24,9.75,6.75,1
25,10,7.625,1
