ppt,memory,period
1,1,5
1,2,5
1,3,5
1,4,4
1,5,2
1,6,3
2,1,1
2,2,2
2,3,5
2,4,4
2,5,5
2,6,3
3,1,5
3,2,5
3,3,5
3,4,4
3,5,4
3,6,3
4,1,3
4,2,4
4,3,5
4,4,5
4,5,4
4,6,2
5,1,5
5,2,4
5,3,5
5,4,4
5,5,5
5,6,4
6,1,4
6,2,3
6,3,3
6,4,2
6,5,1
6,6,NA
