"ID","sex","native","blind","hours","job","income","education"
2422,"female","native","no",NA,NA,419559,"grade-school"
2423,"male","native","no",NA,"private",869739,"doctor"
2424,"female","native","no",25,"public",30087,"bachelor"
2425,"female","native",NA,NA,NA,86767,"grade-school"
2426,"female","native","no",40,"charity",55620,"high-school"
2427,"female","native","no",NA,NA,25095,"high-school"
2428,"female","native","no",NA,NA,133845,"bachelor"
2429,"female","foreign","no",NA,NA,27681,"high-school"
2430,"female","native","no",40,"private",105879,"bachelor"
2431,"female","native","no",NA,NA,73857,"bachelor"
2432,"female","foreign","no",NA,NA,71241,"master"
2433,"male","native",NA,NA,NA,46643,"master"
2434,"female","native","no",40,"private",30936,"high-school"
2435,"female","foreign","no",40,"private",49260,"high-school"
2436,"male","native","no",40,"private",594812,"bachelor"
2437,"female","native","no",35,"private",63557,"high-school"
2438,"male","native","no",40,"private",122703,"bachelor"
2439,"female","native","no",40,"charity",80825,"master"
2440,"male","native","no",NA,"private",143954,"high-school"
2441,"female","native","no",NA,NA,2415,"master"
2442,"male","native","no",60,"private",397701,"bachelor"
2443,"male","native","no",60,"private",89920,"high-school"
2444,"male","native","no",NA,"public",87842,"bachelor"
2445,"male","native","no",18,"private",27160,"high-school"
2446,"female","native",NA,NA,NA,29908,"grade-school"
2447,"male","foreign","no",NA,NA,38034,"bachelor"
2448,"male","native",NA,NA,NA,144897,"grade-school"
2449,"male","native",NA,NA,NA,73528,"grade-school"
2450,"female","native","no",40,"private",58289,"high-school"
2451,"female","foreign","no",NA,NA,67320,"high-school"
2452,"male","native","no",40,"private",127267,"bachelor"
2453,"male","native","no",NA,NA,11724,"grade-school"
2454,"male","native",NA,NA,NA,40020,"grade-school"
2455,"male","native","no",NA,NA,53309,"high-school"
2456,"female","native",NA,NA,NA,54534,"grade-school"
2457,"female","native","no",NA,NA,27385,"high-school"
2458,"male","native","no",NA,NA,91102,"high-school"
2459,"female","native","no",NA,"private",40662,"high-school"
2460,"male","native","no",42,"private",307691,"master"
2461,"female","native","no",40,"private",6021,"high-school"
2462,"male","native","no",43,"private",72773,"high-school"
2463,"female","native","no",35,"private",132861,"high-school"
2464,"male","native","no",NA,"private",23829,"high-school"
2465,"female","native","no",NA,NA,81580,"bachelor"
2466,"female","foreign",NA,NA,NA,66895,"grade-school"
2467,"male","native","no",NA,NA,14714,"high-school"
2468,"male","native","no",NA,NA,497543,"grade-school"
2469,"male","native",NA,NA,NA,81056,"grade-school"
2470,"female","native","no",NA,NA,6513,"grade-school"
2471,"female","native","no",32,"private",659640,"master"
2472,"male","native","no",40,"private",122900,"master"
2473,"female","native","no",30,"private",20388,"high-school"
2474,"male","native","no",50,"private",103259,"bachelor"
2475,"female","native","no",NA,NA,4505,"high-school"
2476,"male","native","no",37,"private",74808,"high-school"
2477,"male","native","no",40,"private",361219,"bachelor"
2478,"female","foreign","no",40,"private",11720,"bachelor"
2479,"female","native","no",40,"private",66166,"high-school"
2480,"female","native","no",40,"private",52700,"master"
2481,"male","native","no",NA,NA,76337,"grade-school"
2482,"male","native","no",40,"private",82280,"high-school"
2483,"male","native","no",40,"private",66618,"master"
2484,"male","native","no",NA,NA,82031,"high-school"
2485,"female","native",NA,NA,NA,95498,"grade-school"
2486,"male","native","no",50,"private",148630,"bachelor"
2487,"male","native","no",40,"private",73627,"high-school"
2488,"male","native","no",NA,NA,397701,"high-school"
2489,"male","native","no",40,"private",66808,"high-school"
2490,"female","native",NA,NA,NA,214582,"grade-school"
2491,"male","native","no",40,"private",45616,"high-school"
2492,"female","native",NA,NA,NA,98809,"grade-school"
2493,"male","native","no",40,"private",27760,"high-school"
2494,"male","native","no",NA,NA,15971,"high-school"
2495,"female","native",NA,NA,NA,66278,"grade-school"
2496,"male","native","yes",NA,NA,19458,"grade-school"
2497,"male","native","no",NA,NA,34010,"high-school"
2498,"female","foreign","no",NA,NA,44510,"bachelor"
2499,"female","native","no",20,"private",60114,"grade-school"
2500,"male","native",NA,NA,NA,51394,"grade-school"
2501,"male","native","no",40,"private",90897,"high-school"
2502,"female","native",NA,NA,NA,49327,"grade-school"
2503,"male","native","no",50,"private",69940,"bachelor"
2504,"female","native","no",NA,NA,14734,"high-school"
2505,"male","native","no",40,"private",38520,"high-school"
2506,"male","native","no",40,"private",62926,"grade-school"
2507,"male","native","no",NA,"private",881201,"bachelor"
2508,"male","native","no",38,"private",27179,"bachelor"
2509,"female","native","no",NA,NA,80893,"bachelor"
2510,"female","native","no",30,"private",14659,"high-school"
2511,"female","native",NA,NA,NA,373578,"grade-school"
2512,"male","native","no",35,"private",27792,"high-school"
2513,"male","native",NA,NA,NA,84031,"grade-school"
2514,"female","native","no",NA,"private",64782,"high-school"
2515,"female","native","no",NA,NA,19361,"high-school"
2516,"female","native","no",NA,"private",21755,"high-school"
2517,"male","native",NA,NA,NA,126540,"grade-school"
2518,"female","native","no",NA,NA,19609,"grade-school"
2519,"female","native","no",42,"private",28044,"high-school"
2520,"female","native","no",6,"public",29799,"high-school"
2521,"female","native","no",NA,NA,70411,"high-school"
2522,"female","foreign","no",NA,NA,92566,"bachelor"
2523,"female","native",NA,NA,NA,71953,"grade-school"
2524,"female","foreign","no",40,"private",27683,"high-school"
2525,"female","native","no",NA,NA,86434,"high-school"
2526,"male","native","no",NA,NA,223614,"bachelor"
2527,"male","native",NA,NA,NA,13373,"grade-school"
2528,"male","native",NA,NA,NA,6987,"grade-school"
2529,"female","native","no",50,"private",209700,"master"
2530,"female","native",NA,NA,NA,134531,"grade-school"
2531,"male","native",NA,NA,NA,121490,"grade-school"
2532,"male","native","no",NA,NA,22286,"bachelor"
2533,"female","native",NA,NA,NA,75774,"grade-school"
2534,"male","native","no",NA,NA,142290,"high-school"
2535,"female","native","no",41,"private",47552,"high-school"
2536,"female","foreign","no",40,"private",16270,"grade-school"
2537,"male","native","no",NA,NA,52354,"high-school"
2538,"female","native","no",NA,NA,36411,"grade-school"
2539,"female","native",NA,NA,NA,2348,"grade-school"
2540,"female","native",NA,NA,NA,63788,"grade-school"
2541,"female","native","no",40,"private",67294,"master"
2542,"female","native","no",40,"public",105888,"master"
2543,"female","foreign","no",NA,NA,121853,"grade-school"
2544,"male","native",NA,NA,NA,36782,"grade-school"
2545,"male","native","no",40,"public",70785,"high-school"
2546,"male","native",NA,NA,NA,11010,"grade-school"
2547,"male","native","no",40,"private",42003,"high-school"
2548,"female","native",NA,NA,NA,6012,"grade-school"
2549,"female","native","no",NA,NA,7640,"high-school"
2550,"male","native","no",NA,"private",2223,"high-school"
2551,"male","native","no",50,"private",76615,"high-school"
2552,"female","foreign","no",40,"private",49514,"grade-school"
2553,"male","native",NA,NA,NA,38918,"grade-school"
2554,"male","native","no",40,"private",844288,"bachelor"
2555,"male","native",NA,NA,NA,789865,"grade-school"
2556,"female","native","no",40,"private",237131,"bachelor"
2557,"female","native","no",NA,NA,17781,"high-school"
2558,"male","native","no",NA,NA,30607,"high-school"
2559,"female","native","no",NA,NA,43429,"high-school"
2560,"female","native","no",20,"private",35821,"bachelor"
2561,"female","native","no",NA,NA,15095,"high-school"
2562,"male","native","no",40,"private",63252,"master"
2563,"male","native","no",40,"private",140867,"bachelor"
2564,"male","native","no",18,"private",132668,"high-school"
2565,"male","native","no",NA,NA,58799,"high-school"
2566,"female","native","no",NA,NA,38206,"high-school"
2567,"male","native","no",39,"private",35791,"high-school"
2568,"male","native","no",NA,NA,110783,"bachelor"
2569,"male","native","no",NA,NA,15695,"grade-school"
2570,"male","native","no",35,"private",127750,"master"
2571,"female","foreign","no",NA,NA,81481,"master"
2572,"male","native","no",40,"private",148861,"bachelor"
2573,"female","native","no",20,"private",44072,"high-school"
2574,"male","native","no",45,"private",134816,"high-school"
2575,"female","native",NA,NA,NA,3762,"grade-school"
2576,"female","native",NA,NA,NA,88174,"grade-school"
2577,"male","foreign","no",40,"private",56956,"high-school"
2578,"female","foreign","no",NA,"private",68128,"bachelor"
2579,"female","native","no",40,"public",31270,"high-school"
2580,"female","native",NA,NA,NA,40153,"grade-school"
2581,"female","native",NA,NA,NA,40845,"grade-school"
2582,"female","native",NA,NA,NA,93392,"grade-school"
2583,"male","foreign","no",40,"private",55867,"high-school"
2584,"female","native","no",40,"private",74435,"grade-school"
2585,"female","native","no",NA,NA,26761,"high-school"
2586,"female","native","no",42,"private",73696,"high-school"
2587,"female","native","no",NA,"private",65912,"high-school"
2588,"male","native","no",60,"private",64672,"high-school"
2589,"female","native","no",50,"public",103306,"high-school"
2590,"male","native","no",50,"private",871937,"bachelor"
2591,"male","native","no",NA,"private",96567,"grade-school"
2592,"male","native",NA,NA,NA,78857,"grade-school"
2593,"male","native","no",NA,"private",398332,"high-school"
2594,"female","native","no",40,"charity",135710,"high-school"
2595,"male","native","no",40,"private",463750,"bachelor"
2596,"male","native","no",40,"private",48838,"high-school"
2597,"female","native","no",40,"charity",135850,"grade-school"
2598,"male","native","no",NA,"private",76905,"grade-school"
2599,"female","native","no",40,"private",66640,"bachelor"
2600,"male","native","no",NA,NA,31835,"master"
2601,"female","native","yes",NA,NA,0,"master"
2602,"female","native","no",NA,NA,12751,"high-school"
2603,"male","native","no",40,"private",58331,"high-school"
2604,"female","native",NA,NA,NA,40368,"grade-school"
2605,"male","native","no",60,"private",75583,"high-school"
2606,"female","native","no",NA,NA,77701,"grade-school"
2607,"male","native","no",NA,NA,29511,"high-school"
2608,"female","native","no",40,"private",297562,"high-school"
2609,"female","native","no",25,"private",8208,"high-school"
2610,"female","native","no",38,"private",50607,"bachelor"
2611,"female","native","no",NA,NA,20695,"grade-school"
2612,"female","native","no",42,"private",121714,"high-school"
2613,"female","native","no",NA,NA,35966,"high-school"
2614,"female","native","no",40,"private",36213,"high-school"
2615,"female","native","no",20,"private",122098,"high-school"
2616,"female","native","no",40,"private",54976,"high-school"
2617,"female","native","no",NA,"private",130353,"bachelor"
2618,"male","native","no",NA,NA,24795,"high-school"
2619,"male","native",NA,NA,NA,38633,"grade-school"
2620,"female","native","no",NA,NA,59338,"high-school"
2621,"female","foreign","no",NA,"private",19813,"grade-school"
2622,"male","native",NA,NA,NA,7477,"grade-school"
2623,"female","native",NA,NA,NA,135018,"grade-school"
2624,"female","foreign","no",65,"private",125759,"master"
2625,"female","native","no",40,"private",33945,"high-school"
2626,"male","native","no",40,"public",68324,"bachelor"
2627,"male","native","no",NA,NA,22622,"high-school"
2628,"female","native","no",NA,NA,56118,"high-school"
2629,"male","native","no",40,"private",120883,"master"
2630,"female","native","no",40,"private",144676,"high-school"
2631,"male","foreign",NA,NA,NA,63683,"grade-school"
2632,"male","native","no",NA,NA,24993,"grade-school"
2633,"male","foreign","no",NA,NA,36663,"master"
2634,"male","native","yes",NA,NA,16426,"bachelor"
2635,"male","native","no",50,"private",63851,"bachelor"
2636,"female","native","no",NA,NA,11046,"high-school"
2637,"female","native",NA,NA,NA,115326,"grade-school"
2638,"male","native",NA,NA,NA,59517,"grade-school"
2639,"male","foreign","no",NA,NA,11435,"bachelor"
2640,"female","native","no",40,"private",8974,"high-school"
2641,"male","native","no",50,"private",559509,"high-school"
2642,"male","native","no",NA,NA,113229,"high-school"
2643,"female","native","no",40,"private",118980,"bachelor"
2644,"male","native","no",40,"private",37381,"high-school"
2645,"male","native",NA,NA,NA,46163,"grade-school"
2646,"male","native",NA,NA,NA,101624,"grade-school"
2647,"male","native","no",NA,NA,125258,"high-school"
2648,"male","native","no",NA,NA,4124,"grade-school"
2649,"male","native","no",40,"private",98040,"bachelor"
2650,"female","native","no",20,"nopay",35381,"high-school"
2651,"female","native","no",20,"private",115918,"bachelor"
2652,"male","native","no",40,"private",30407,"high-school"
2653,"female","native","no",20,"private",49416,"high-school"
2654,"male","native","no",NA,NA,31334,"grade-school"
2655,"male","native","no",10,"public",35731,"high-school"
2656,"female","native","no",NA,NA,55878,"high-school"
2657,"male","native","no",NA,NA,36490,"grade-school"
2658,"female","native","no",35,"public",70778,"high-school"
2659,"female","native","no",55,"private",103859,"master"
2660,"male","native",NA,NA,NA,136013,"grade-school"
2661,"female","native","no",NA,NA,6514,"high-school"
2662,"male","native","no",45,"private",125250,"high-school"
2663,"female","native","no",NA,"private",9566,"high-school"
2664,"female","foreign","no",35,"private",77071,"bachelor"
2665,"female","native","no",20,"charity",72210,"high-school"
2666,"female","native","no",NA,NA,84019,"bachelor"
2667,"female","native","no",35,"private",0,"high-school"
2668,"female","native","no",40,"public",40420,"high-school"
2669,"female","native",NA,NA,NA,61486,"grade-school"
2670,"female","native",NA,NA,NA,27076,"grade-school"
2671,"male","native","no",NA,NA,25933,"grade-school"
2672,"male","native","no",40,"private",38115,"high-school"
2673,"male","native",NA,NA,NA,51123,"grade-school"
2674,"male","native","no",NA,NA,31656,"high-school"
2675,"male","native","no",NA,"private",789865,"bachelor"
2676,"male","foreign","no",NA,"private",22750,"grade-school"
2677,"female","native","no",NA,NA,7834,"high-school"
2678,"male","foreign","no",40,"private",12353,"grade-school"
2679,"female","native","no",NA,NA,5672,"grade-school"
2680,"male","native","no",NA,NA,22728,"high-school"
2681,"male","foreign","no",NA,NA,67945,"high-school"
2682,"female","native","no",55,"charity",77887,"master"
2683,"female","native","no",44,"private",122015,"bachelor"
2684,"female","native","no",NA,NA,6913,"grade-school"
2685,"female","native","no",45,"private",27030,"bachelor"
2686,"male","native","no",NA,"private",34706,"bachelor"
2687,"female","native","no",NA,NA,58339,"high-school"
2688,"male","native","no",60,"private",134045,"high-school"
2689,"female","native",NA,NA,NA,99550,"grade-school"
2690,"female","native","no",NA,NA,50068,"high-school"
2691,"female","native",NA,NA,NA,81628,"grade-school"
2692,"female","foreign","no",40,"private",29050,"bachelor"
2693,"male","native","yes",NA,NA,13375,"grade-school"
2694,"male","native","no",NA,NA,26238,"high-school"
2695,"male","foreign","no",50,"private",78956,"master"
2696,"male","native","no",40,"private",148433,"high-school"
2697,"female","foreign","no",NA,NA,5197,"high-school"
2698,"female","native","no",NA,NA,6888,"grade-school"
2699,"male","native","no",20,"public",76364,"high-school"
2700,"male","native","no",25,"private",68840,"high-school"
2701,"female","native","no",25,"private",23727,"high-school"
2702,"male","native","no",50,"private",75518,"high-school"
2703,"male","native",NA,NA,NA,4043,"grade-school"
2704,"female","native","no",NA,NA,177408,"grade-school"
2705,"male","native","yes",NA,NA,12784,"high-school"
2706,"male","foreign","no",40,"private",30685,"grade-school"
2707,"female","native","no",40,"charity",73185,"high-school"
2708,"male","native","no",NA,"private",28439,"high-school"
2709,"female","native","no",NA,NA,14918,"high-school"
2710,"female","native",NA,NA,NA,80031,"grade-school"
2711,"male","native","no",NA,NA,24889,"high-school"
2712,"male","native","no",40,"private",75734,"bachelor"
2713,"female","foreign","no",40,"private",17779,"high-school"
2714,"female","native",NA,NA,NA,48252,"grade-school"
2715,"male","native","no",13,"charity",371860,"high-school"
2716,"female","native",NA,NA,NA,89711,"grade-school"
2717,"female","native","no",40,"private",30068,"high-school"
2718,"female","native",NA,NA,NA,142745,"grade-school"
2719,"female","native",NA,NA,NA,406393,"grade-school"
2720,"female","native","no",NA,NA,75708,"grade-school"
2721,"female","native","no",24,"private",49769,"bachelor"
2722,"male","native","no",15,"private",89735,"grade-school"
2723,"male","native","no",40,"private",55747,"high-school"
2724,"male","native","no",NA,NA,7263,"bachelor"
2725,"female","native","no",NA,NA,64495,"high-school"
2726,"female","native","no",NA,NA,59424,"high-school"
2727,"male","native","no",NA,"private",614112,"master"
2728,"female","native","no",36,"private",76230,"bachelor"
2729,"female","native","no",NA,NA,15436,"high-school"
2730,"male","native","no",40,"private",74273,"high-school"
2731,"male","native",NA,NA,NA,80564,"grade-school"
2732,"male","native","no",40,"private",97465,"high-school"
2733,"female","native","no",NA,NA,65062,"high-school"
2734,"female","native",NA,NA,NA,93416,"grade-school"
2735,"male","native","no",NA,"private",30081,"high-school"
2736,"female","native","no",NA,NA,16563,"grade-school"
2737,"female","native","no",40,"public",32736,"high-school"
2738,"female","native","no",NA,NA,50894,"grade-school"
2739,"female","native","no",40,"private",37239,"high-school"
2740,"male","native",NA,NA,NA,131362,"grade-school"
2741,"male","native","no",40,"private",139699,"high-school"
2742,"male","native","no",NA,NA,17287,"high-school"
2743,"male","native","no",35,"charity",66303,"master"
2744,"male","native","no",40,"private",68053,"bachelor"
2745,"female","native","no",40,"public",112976,"bachelor"
2746,"male","native","no",NA,"private",47773,"high-school"
2747,"male","native","no",NA,NA,23290,"grade-school"
2748,"female","native",NA,NA,NA,23471,"grade-school"
2749,"female","native","no",25,"charity",89719,"master"
2750,"female","native","no",32,"private",55067,"bachelor"
2751,"female","foreign","no",40,"private",4639,"grade-school"
2752,"male","native","no",NA,"private",136603,"master"
2753,"male","native","no",NA,NA,56746,"high-school"
2754,"female","native",NA,NA,NA,0,"grade-school"
2755,"female","native","no",NA,NA,0,"grade-school"
2756,"male","native",NA,NA,NA,21597,"grade-school"
2757,"female","native","no",NA,"public",0,"high-school"
2758,"male","native",NA,NA,NA,249000,"grade-school"
2759,"female","native","no",NA,NA,15450,"grade-school"
2760,"male","native",NA,NA,NA,68289,"grade-school"
2761,"female","native","no",NA,NA,19025,"grade-school"
2762,"female","native","no",NA,"private",347660,"bachelor"
2763,"male","native",NA,NA,NA,53906,"high-school"
2764,"male","native",NA,NA,NA,323732,"grade-school"
2765,"female","native","no",NA,NA,14426,"bachelor"
2766,"female","native","no",40,"charity",537315,"bachelor"
2767,"female","foreign","no",NA,NA,66383,"grade-school"
2768,"male","native","no",NA,NA,97268,"high-school"
2769,"female","native","no",40,"private",41823,"grade-school"
2770,"female","native","no",40,"private",44946,"high-school"
2771,"male","native","no",40,"private",118583,"high-school"
2772,"male","foreign","no",30,"private",74627,"grade-school"
2773,"female","native","no",24,"charity",125832,"master"
2774,"female","native","no",43,"private",34566,"high-school"
2775,"female","native","no",NA,NA,25075,"grade-school"
2776,"male","native","no",50,"private",182686,"bachelor"
2777,"male","native","no",NA,NA,7085,"high-school"
2778,"female","native","no",NA,NA,92165,"high-school"
2779,"female","foreign","no",40,"public",93341,"master"
2780,"female","native","no",NA,NA,11458,"high-school"
2781,"female","native","no",30,"public",22199,"high-school"
2782,"female","native","no",NA,"private",51330,"high-school"
2783,"male","native","no",60,"private",99758,"bachelor"
2784,"female","native","no",NA,NA,18746,"high-school"
2785,"male","native","no",40,"private",85022,"high-school"
2786,"female","native","no",40,"public",55814,"high-school"
2787,"female","native",NA,NA,NA,12681,"grade-school"
2788,"female","native","no",NA,NA,21610,"master"
2789,"female","native","no",50,"public",79494,"bachelor"
2790,"female","native","no",NA,NA,22983,"high-school"
2791,"female","native",NA,NA,NA,94369,"grade-school"
2792,"male","native","no",40,"private",69096,"high-school"
2793,"female","native",NA,NA,NA,22302,"grade-school"
2794,"female","native","no",NA,NA,8847,"high-school"
2795,"male","native","no",40,"private",53979,"high-school"
2796,"male","native","no",NA,NA,74123,"high-school"
2797,"male","native","no",40,"private",27491,"high-school"
2798,"female","foreign","no",30,"private",730041,"bachelor"
2799,"female","native","no",40,"private",89601,"bachelor"
2800,"male","native","no",NA,NA,20265,"high-school"
2801,"female","native","no",NA,NA,37743,"bachelor"
2802,"male","native","no",30,"private",137792,"high-school"
2803,"female","native","no",NA,NA,12823,"high-school"
2804,"male","native","no",40,"private",177310,"master"
2805,"male","native","no",50,"private",130319,"high-school"
2806,"female","native","no",NA,NA,63303,"high-school"
2807,"female","native","no",20,"private",130514,"high-school"
2808,"male","native","no",50,"private",63306,"bachelor"
2809,"male","foreign","no",NA,"private",34130,"grade-school"
2810,"female","native","no",40,"private",133919,"high-school"
2811,"male","foreign","no",NA,NA,5348,"high-school"
2812,"male","native",NA,NA,NA,123125,"master"
2813,"female","foreign","no",24,"private",8736,"grade-school"
2814,"male","native","no",NA,NA,55938,"high-school"
2815,"male","native","no",55,"private",279716,"master"
2816,"female","foreign","no",40,"public",29509,"high-school"
2817,"female","native","no",NA,NA,308014,"grade-school"
2818,"male","native","no",50,"private",62801,"high-school"
2819,"male","native","no",40,"private",783808,"master"
2820,"male","native","no",NA,NA,27393,"grade-school"
2821,"female","native","yes",NA,NA,26979,"high-school"
2822,"male","native","no",40,"private",51241,"bachelor"
2823,"female","native","no",40,"private",32086,"high-school"
2824,"female","foreign","no",NA,NA,1965,"high-school"
2825,"female","native",NA,NA,NA,42073,"grade-school"
2826,"female","native",NA,NA,NA,22022,"grade-school"
2827,"female","foreign","no",27,"private",137101,"high-school"
2828,"female","native",NA,NA,NA,92978,"grade-school"
2829,"male","native","no",40,"private",596752,"bachelor"
2830,"male","foreign","no",35,"charity",71735,"high-school"
2831,"female","native","no",NA,NA,30003,"high-school"
2832,"male","native",NA,NA,NA,18085,"grade-school"
2833,"female","foreign","no",NA,NA,74475,"high-school"
2834,"female","foreign","no",NA,NA,26616,"grade-school"
2835,"male","native","no",40,"private",146490,"high-school"
2836,"female","native","no",40,"private",30514,"high-school"
2837,"female","native","no",40,"private",10790,"high-school"
2838,"male","native","no",NA,NA,32356,"high-school"
2839,"female","foreign","no",40,"public",81946,"high-school"
2840,"female","native","no",40,"private",496933,"master"
2841,"male","native","no",NA,NA,94672,"bachelor"
2842,"female","native","no",40,"private",139815,"high-school"
2843,"female","native",NA,NA,NA,50059,"grade-school"
2844,"female","native","no",15,"charity",20609,"high-school"
2845,"female","native","no",38,"private",24107,"high-school"
2846,"female","foreign","no",NA,NA,44598,"grade-school"
2847,"male","native","no",NA,NA,7773,"bachelor"
2848,"female","native","no",NA,"private",57882,"bachelor"
2849,"male","native","no",36,"private",56741,"high-school"
2850,"female","native","no",NA,NA,135919,"high-school"
2851,"female","native","no",NA,"private",19065,"grade-school"
2852,"male","native","no",40,"private",44073,"high-school"
2853,"male","foreign","no",NA,NA,52730,"high-school"
2854,"male","native",NA,NA,NA,20326,"grade-school"
2855,"female","native","no",40,"private",136128,"high-school"
2856,"female","foreign","no",40,"private",158208,"bachelor"
2857,"male","native","no",50,"private",60352,"high-school"
2858,"female","native","no",30,"public",506310,"bachelor"
2859,"female","native","no",NA,NA,66202,"high-school"
2860,"female","native","no",40,"private",10414,"high-school"
2861,"female","native","no",30,"charity",66598,"high-school"
2862,"male","native",NA,NA,NA,140514,"bachelor"
2863,"male","native",NA,NA,NA,6852,"grade-school"
2864,"female","native","no",NA,NA,35589,"bachelor"
2865,"male","native",NA,NA,NA,534548,"grade-school"
2866,"female","native","no",NA,NA,4949,"high-school"
2867,"female","foreign","no",NA,NA,72425,"high-school"
2868,"male","foreign","no",40,"private",10989,"high-school"
2869,"female","native","no",40,"private",94540,"high-school"
2870,"female","native","no",NA,NA,553106,"high-school"
2871,"female","native","no",20,"private",51569,"bachelor"
2872,"female","native",NA,NA,NA,58189,"grade-school"
2873,"female","native","no",NA,NA,63247,"high-school"
2874,"female","native","no",NA,NA,144,"high-school"
2875,"female","native","no",NA,NA,5899,"high-school"
2876,"female","native","no",NA,NA,48289,"high-school"
2877,"male","native","no",40,"private",15474,"grade-school"
2878,"female","native","no",NA,NA,138960,"master"
2879,"male","native","no",7,"private",62273,"high-school"
2880,"male","native",NA,NA,NA,26128,"grade-school"
2881,"female","native","no",NA,NA,0,"high-school"
2882,"female","native",NA,NA,NA,702871,"grade-school"
2883,"female","foreign","yes",NA,NA,25656,"high-school"
2884,"female","native","no",NA,NA,4195,"grade-school"
2885,"male","native","no",NA,"charity",59982,"high-school"
2886,"female","native","no",40,"public",62835,"high-school"
2887,"male","native","no",NA,NA,97545,"grade-school"
2888,"male","native","no",NA,NA,51315,"high-school"
2889,"female","native","no",NA,NA,13305,"high-school"
2890,"female","native","no",NA,NA,81465,"master"
2891,"male","native","no",28,"private",31890,"high-school"
2892,"male","native","no",40,"public",138045,"master"
2893,"female","native","no",40,"private",33028,"high-school"
2894,"female","native","no",NA,NA,563218,"bachelor"
2895,"male","foreign","no",NA,"private",191737,"high-school"
2896,"female","native","no",NA,NA,0,"grade-school"
2897,"male","native","no",50,"private",119423,"high-school"
2898,"female","native","no",45,"private",138537,"high-school"
2899,"male","native","no",NA,NA,79460,"bachelor"
2900,"female","native",NA,NA,NA,137395,"grade-school"
2901,"female","native","no",NA,NA,115059,"high-school"
2902,"female","native","yes",NA,NA,4800,"high-school"
2903,"female","native","no",NA,NA,22387,"grade-school"
2904,"male","native","no",40,"private",32597,"high-school"
2905,"female","native","no",40,"public",65572,"high-school"
2906,"female","native","no",40,"charity",36941,"high-school"
2907,"male","foreign","no",NA,NA,8035,"high-school"
2908,"female","native","no",20,"private",16697,"bachelor"
2909,"female","native","no",NA,NA,112460,"high-school"
2910,"male","native",NA,NA,NA,71538,"grade-school"
2911,"female","native","no",20,"private",39744,"high-school"
2912,"female","native","no",30,"private",60849,"high-school"
2913,"male","native","no",NA,NA,15511,"grade-school"
2914,"female","native","no",20,"private",41440,"high-school"
2915,"female","foreign","no",6,"private",16443,"grade-school"
2916,"male","native","no",NA,NA,20735,"high-school"
2917,"female","native",NA,NA,NA,81275,"grade-school"
2918,"female","native","no",40,"private",135212,"high-school"
2919,"female","native","no",NA,NA,45026,"grade-school"
2920,"male","native","no",60,"private",50119,"high-school"
2921,"male","native","no",38,"private",41135,"high-school"
2922,"male","foreign","no",30,"private",28585,"grade-school"
2923,"female","native","no",40,"public",103668,"high-school"
2924,"male","native","no",40,"charity",147835,"high-school"
2925,"male","native","no",40,"private",88121,"high-school"
2926,"female","native","no",NA,NA,65017,"high-school"
2927,"female","native",NA,NA,NA,62531,"grade-school"
2928,"female","native","no",40,"public",47116,"master"
2929,"female","native","no",40,"private",40954,"high-school"
2930,"female","native","no",NA,NA,11177,"grade-school"
2931,"female","native","no",35,"private",60230,"doctor"
2932,"female","native",NA,NA,NA,76861,"grade-school"
2933,"female","native","no",25,"private",2416,"high-school"
2934,"male","native","no",40,"private",52994,"high-school"
2935,"male","native",NA,NA,NA,116684,"grade-school"
2936,"male","native","no",NA,NA,63114,"bachelor"
2937,"female","native","no",NA,NA,80351,"high-school"
2938,"female","native",NA,NA,NA,122174,"grade-school"
2939,"female","native","no",40,"private",85122,"high-school"
2940,"female","native",NA,NA,NA,53287,"grade-school"
2941,"male","native",NA,NA,NA,144999,"grade-school"
2942,"female","native","no",NA,"public",83210,"bachelor"
2943,"female","native","no",40,"public",126630,"master"
2944,"male","native",NA,NA,NA,10293,"grade-school"
2945,"female","native","no",40,"private",383790,"master"
2946,"male","native","no",NA,NA,75930,"grade-school"
2947,"male","native","no",16,"private",51446,"grade-school"
2948,"female","native","no",25,"private",51889,"high-school"
2949,"male","native","no",50,"private",504203,"master"
2950,"female","native","no",40,"private",56661,"bachelor"
2951,"male","native","no",40,"private",5698,"high-school"
2952,"male","native","no",40,"private",42226,"high-school"
2953,"female","native","no",40,"private",51938,"high-school"
2954,"male","native",NA,NA,NA,50009,"grade-school"
2955,"male","native",NA,NA,NA,96746,"grade-school"
2956,"male","native","no",NA,NA,30297,"master"
2957,"male","native","no",NA,"private",83921,"high-school"
2958,"female","native","no",40,"charity",47993,"master"
2959,"female","native","no",50,"private",79919,"high-school"
2960,"female","native","no",50,"private",2387,"high-school"
2961,"male","native","yes",NA,NA,161708,"high-school"
2962,"female","native",NA,NA,NA,60759,"grade-school"
2963,"male","native","no",40,"public",41447,"high-school"
2964,"female","native","no",NA,NA,82493,"bachelor"
2965,"female","native","no",NA,"private",78639,"bachelor"
2966,"male","native","no",NA,NA,32182,"high-school"
2967,"male","foreign","no",40,"private",70249,"bachelor"
2968,"female","native","no",NA,NA,20351,"high-school"
2969,"male","native","no",40,"private",2861,"grade-school"
2970,"female","native",NA,NA,NA,85386,"grade-school"
2971,"female","native","no",40,"charity",52890,"high-school"
2972,"female","native","no",NA,NA,57769,"high-school"
2973,"female","native","no",NA,"private",61603,"master"
2974,"female","native","no",NA,NA,69397,"high-school"
