partID,Age,Gender,Stage,Pre_SSE_1,Pre_SSE_2,Pre_SSE_3,Pre_SSE_4,Pre_SSE_5,Pre_SSE_6,Pre_SSE_7,Pre_SSE_8,Pre_SSE_9,Pre_SSE_10,Pre_SSE_11,Pre_SSE_12,Pre_SSE_13,Pre_SSE_14,Pre_SSE_15,Pre_SSE_16,Pre_SSE_17,Pre_SSE_18,Pre_SSE_19,Pre_SSE_20,Condition,Post_SSE_1,Post_SSE_2,Post_SSE_3,Post_SSE_4,Post_SSE_5,Post_SSE_6,Post_SSE_7,Post_SSE_8,Post_SSE_9,Post_SSE_10,Post_SSE_11,Post_SSE_12,Post_SSE_13,Post_SSE_14,Post_SSE_15,Post_SSE_16,Post_SSE_17,Post_SSE_18,Post_SSE_19,Post_SSE_20
115,20,female,2,1,1,0,0,0,0,4,3,1,2,0,0,2,3,0,3,0,0,1,1,other,1,2,0,1,0,0,4,3,1,1,1,0,1,4,0,4,1,0,1,1
117,19,male,1,0,0,1,0,1,1,1,3,2,2,1,2,3,1,1,1,1,1,2,1,other,0,0,1,0,1,1,1,3,2,2,1,2,3,1,1,1,1,1,1,1
118,18,female,1,2,3,1,3,1,1,4,1,0,1,1,2,1,3,2,3,2,1,0,1,other,2,3,3,4,3,0,4,3,1,2,2,2,3,2,1,2,1,1,3,1
120,18,female,1,2,2,0,1,0,0,4,3,3,2,0,0,3,3,0,3,0,0,0,1,other,1,3,4,1,0,0,4,3,2,3,1,0,3,3,1,4,3,0,0,3
121,19,female,2,3,1,2,0,1,2,0,0,1,0,3,3,1,2,0,0,0,2,2,1,other,2,0,4,0,1,2,0,0,1,0,4,4,3,3,0,0,1,1,1,1
130,20,male,2,3,3,3,2,1,4,1,0,3,0,4,3,0,3,0,0,2,1,1,1,other,3,3,3,2,1,3,3,0,3,0,3,3,1,3,0,0,3,1,1,1
133,27,female,1,2,1,1,2,1,1,0,2,2,1,1,1,1,1,1,0,0,1,1,0,other,1,1,1,1,0,1,0,3,2,1,1,1,1,1,1,1,1,1,1,0
134,20,female,1,0,2,1,0,0,3,1,3,0,3,0,0,2,3,1,3,1,1,3,2,other,3,3,1,0,0,3,0,0,0,0,3,3,0,0,0,0,1,0,2,1
149,20,male,1,3,3,0,2,3,1,2,2,3,3,1,1,2,2,1,2,2,2,2,1,other,3,2,0,2,2,1,2,3,3,1,1,1,2,3,2,3,2,2,2,1
159,18,male,1,3,0,2,0,0,2,0,0,2,0,3,3,0,3,0,1,0,1,1,0,other,2,0,2,1,0,2,0,0,3,1,2,2,0,3,0,1,0,1,0,0
167,20,male,2,4,0,3,1,1,2,0,0,2,0,4,3,0,3,1,0,0,1,0,0,other,0,1,0,0,0,2,0,0,3,0,3,3,0,3,1,0,0,2,0,0
169,19,female,1,2,3,1,2,2,2,3,3,1,2,1,0,3,2,1,3,3,3,4,2,other,1,2,0,2,2,2,4,3,1,1,2,0,2,1,1,2,2,3,2,2
187,19,female,1,1,0,1,0,0,1,2,2,0,0,2,1,3,2,0,0,1,0,1,1,other,2,3,2,0,0,1,3,0,1,1,2,2,3,3,1,0,1,0,0,2
