trial,run,cval,subj,value
1,0,0.33411250000000026,200,1
2,-1,-0.11785625000000038,200,4
3,0,0.17283124999999996,200,2
4,0,0.12363750000000018,200,4
5,3,0.12523750000000036,200,4
6,0,-0.08315625000000015,200,2
7,0,0.22847500000000004,200,4
8,-3,0.22763750000000035,200,4
9,1,0.07725957690108633,200,5
10,0,0.7888375000000001,200,4
11,0,0.14863749999999964,200,2
12,-3,0.2828187500000003,200,5
13,1,0.21833124999999967,200,3
14,0,0.5853562500000005,200,3
15,-2,0.13041875000000006,200,4
16,0,0.5027687500000002,200,4
17,2,0.009018750000000113,200,3
18,0,0.13771534090909116,200,4
19,-2,0.2704062500000004,200,2
20,0,0.5604562499999999,200,1
21,0,-0.06020000000000037,200,3
22,3,0.48653750000000007,200,2
23,-1,0.5347937500000006,200,3
24,1,0.4500562500000002,200,2
25,0,0.43142500000000045,200,4
26,-2,0.22118125000000005,200,4
27,1,0.4397425810904075,200,4
28,-1,-0.020337500000000213,200,3
29,0,0.18109374999999994,200,4
30,2,0.35361874999999965,200,3
31,0,0.16750000000000043,200,4
32,-2,0.002481249999999685,200,2
33,0,0.31343125000000044,200,4
34,2,0.29471874999999975,200,3
35,-1,0.3039062500000005,200,3
36,1,0.7881062500000003,200,4
37,-1,0.05010000000000026,200,3
38,0,0.4900624999999998,200,4
39,2,0.028218749999999994,200,3
40,-1,0.5082187499999997,200,2
41,1,0.2036618357487927,200,4
42,-1,0.8589937500000004,200,4
43,1,-0.1121249999999999,200,3
44,-1,0.19920565907522442,200,2
45,1,0.043218750000000125,200,3
46,0,0.20842500000000008,200,3
1,0,0.27663194444444456,198,3
2,-1,-0.0010562500000005192,198,5
3,0,-1.5000000000037206e-4,198,1
4,0,-0.09296874999999945,198,4
5,3,-0.07172500000000048,198,3
6,0,-0.03249999999999931,198,1
7,0,0.20483712905451998,198,5
8,-3,-0.039587500000000386,198,4
9,0,3.423050379570491e-4,198,2
10,2,-0.045137499999999775,198,3
11,-1,-0.03424375000000019,198,4
12,0,-0.021675000000000083,198,4
13,2,-0.022187499999999673,198,3
14,-1,-0.00888124999999974,198,4
15,1,0.026874999999999587,198,3
16,0,-0.06088749999999994,198,5
17,0,0.04836874999999992,198,3
18,-3,-0.01840625000000034,198,2
19,0,0.2749499999999997,198,4
20,2,0.021743750000000422,198,4
21,-1,0.005175000000000002,198,4
22,1,0.04730625000000011,198,4
23,-1,-0.015606918238993406,198,2
24,0,0.21366874999999996,198,4
25,2,-0.025618750000000155,198,3
26,-1,0.10099374999999977,198,4
27,1,0.0459437499999998,198,2
28,0,0.14956874999999997,198,3
29,-2,0.25796875000000036,198,4
30,1,0.018000000000000117,198,4
31,-1,0.12221783876500883,198,4
32,1,0.11131079545454559,198,4
33,-1,-0.061131249999999526,198,2
34,1,-0.008112499999999795,198,4
35,0,-0.13627500000000034,198,3
36,-2,0.09081249999999988,198,4
37,0,-0.025337500000000103,198,4
38,0,0.08577499999999984,198,3
39,3,1.5625000000002442e-4,198,2
40,0,-0.06814375000000002,198,5
41,-2,0.2974187499999997,198,4
42,1,0.05436894409937897,198,4
43,0,-0.09178124999999952,198,3
44,-2,-0.014806250000000265,198,4
45,1,-0.0963687499999998,198,4
46,0,-0.8275000000000001,198,5
1,0,0.016606944444445028,197,2
2,0,0.06109374999999978,197,4
3,-2,-0.01574374999999962,197,5
4,1,-0.02426250000000013,197,4
5,0,0.2393375000000006,197,4
6,-2,-0.019187500000000524,197,1
7,0,0.05716563146997906,197,5
8,0,0.008687500000000199,197,1
9,3,-0.03747500000000023,197,2
10,-1,-0.013541062801932563,197,1
11,1,-0.017300000000000232,197,5
12,-1,-0.030218749999999482,197,5
13,0,-0.01563699102829555,197,4
14,0,0.2730624999999997,197,2
15,3,0.19338749999999963,197,1
16,-1,0.015412500000000212,197,1
17,0,-0.01723749999999974,197,4
18,2,0.3683735849056605,197,5
19,0,0.28357499999999985,197,4
20,0,-0.07939999999999973,197,4
21,-3,-0.0976124999999997,197,2
